Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	31	3.9440203562340965	1.8403392216558493E-23	HLA-DQB1, HLA-DQB2, NMI, HLA-DRB1, PML, OAS2, B2M, VCAM1, CAMK2D, HLA-DRB5, HLA-DPB1, CIITA, ICAM1, HLA-A, HLA-C, HLA-B, HLA-E, STAT1, TRIM22, HLA-G, HLA-DQA1, HLA-F, IRF7, TRIM31, MT2A, IRF1, JAK2, HLA-DPA1, GBP2, GBP1, HLA-DRA	683	71	16792	10.73458024869569	5.563345467065632E-20	5.563345467065632E-20	3.3166682425802433E-20
GOTERM_BP_DIRECT	GO:0006955~immune response	69	8.778625954198473	5.268440090526076E-23	IL15, HLA-DMB, CXCL11, HLA-DMA, TAPBP, B2M, CXCL10, FAS, CIITA, GTPBP1, GBP6, PTGER4, ADGRE5, HLA-A, HLA-C, HLA-B, CTSS, CD40, HLA-E, HLA-DQA1, PDCD1LG2, HLA-F, OSM, IGSF6, TNFSF13B, IL12A, HLA-DPA1, EDA, GBP2, HLA-DRA, HLA-DQB1, GPR183, TNFRSF21, HLA-DQB2, CXCL5, HLA-DRB1, IFITM2, CYSLTR2, ENPP2, C3, IFITM3, CXCL9, CCL8, IL32, C1R, OAS2, CCL5, CD74, SLC11A1, HRH2, HLA-DRB5, HLA-DPB1, HLA-DOA, HLA-DOB, CD7, LY75, SECTM1, TLR10, IL1RN, CTLA4, CD1A, TRIM22, CCL15, AIM2, CCL18, TNFSF8, TNFSF10, CCL13, CD274	683	421	16792	4.029477330347113	1.5926494393660327E-19	7.963247196830164E-20	9.494808201969659E-20
GOTERM_BP_DIRECT	GO:0060337~type I interferon signaling pathway	23	2.926208651399491	2.852255781178157E-15	IFITM1, IFITM2, IFITM3, HLA-A, RSAD2, HLA-C, OAS2, HLA-B, STAT1, HLA-E, HLA-G, PSMB8, IFI35, ISG20, HLA-F, STAT2, IFIT3, IFIT2, IFI27, IRF7, IRF1, XAF1, GBP2	683	64	16792	8.835468521229869	8.726130928948805E-12	2.9086733022154476E-12	5.206945985491984E-12
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	51	6.488549618320611	1.6612565037102797E-13	CRHBP, CXCR3, TLR5, IL15, CXCL11, TLR7, MMP25, TLR8, CXCL10, CCRL2, TNFRSF11A, CASP4, TICAM2, FAS, ADAM8, CIITA, GBP5, LYN, C4A, C4B, IL27, ADGRE5, RELB, POLB, CD40, TNFAIP6, RIPK2, ACOD1, AOC3, TNFRSF21, NMI, CXCL5, C3, GSDMD, CXCL9, CCL8, CCL5, CCL7, SLC11A1, MEFV, ZC3H12A, BCL6, LY75, TLR10, CCL15, AIM2, CCL18, GGT5, APOL3, P2RX7, CCL13	683	379	16792	3.3083594416994715	5.020881488349005E-10	1.2552203720872512E-10	2.9932722966918845E-10
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	31	3.9440203562340965	4.168934089695492E-12	IFITM1, IFITM2, IFITM3, CXCL9, PML, RSAD2, APOBEC3G, IFI44L, OAS2, PMAIP1, CXADR, TLR7, TLR8, CXCL10, ISG20, APOBEC3D, APOBEC3A, NLRC5, SERINC5, DDX60, ZC3H12A, CD40, STAT1, TRIM22, STAT2, IFIT3, IFIT2, IFIT5, IRF1, GBP3, GBP1	683	165	16792	4.619122410044811	1.2602546672901838E-8	2.520509356784828E-9	7.51319007008533E-9
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	12	1.5267175572519083	4.539944388103518E-12	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DPB1, HLA-DMB, HLA-DOA, HLA-DMA, HLA-DOB, HLA-DQA1, HLA-DRA	683	17	16792	17.35457755576608	1.3724190117692103E-8	2.2873650751265018E-9	8.181877397817061E-9
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	29	3.689567430025445	8.041234756321517E-12	TNFRSF21, GPR183, KLRK1, TNFSF18, CLEC10A, TNFRSF11A, LILRA1, LILRA2, TAP2, TAP1, ERAP2, CLEC6A, CD7, ITK, SIT1, LYN, CTLA4, CD1C, CD1A, SLAMF7, CTSS, HLA-E, BTN3A1, LAMP3, LILRB3, RIPK2, JAK2, RNF19B, JAK3	683	148	16792	4.817458747180563	2.4308651092042055E-8	3.4726644893012804E-9	1.4491952082806847E-8
GOTERM_BP_DIRECT	GO:0045087~innate immune response	50	6.361323155216285	6.524367175538553E-11	APOBEC3G, TLR5, TLR7, TLR8, APOBEC3D, B2M, APOBEC3A, NLRC5, NOD2, CASP4, DDX60, TICAM2, LYN, C4A, NCF1, C4B, IL27, RELB, HLA-C, COLEC12, SERPING1, HLA-B, HLA-E, C1QB, TRIM31, RIPK2, IFIH1, GSDMD, KLRK1, PML, C1R, C1S, CLEC10A, CYLD, SERINC5, CLEC6A, C2, ZBP1, ITK, TLR10, SLAMF6, MSRB1, SLAMF1, AIM2, APOL1, IRF7, IFIT5, C1RL, JAK2, JAK3	683	430	16792	2.858796690387824	1.9723168365182175E-7	2.465396253814589E-8	1.1758251039495349E-7
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	17	2.1628498727735366	3.1230466795120506E-10	HLA-DQB1, HLA-DRB1, RELB, HLA-A, HLA-C, HLA-B, CTSS, HLA-DMB, HLA-E, HLA-DQA1, HLA-G, PSMB8, CD74, HLA-DRB5, HLA-DPA1, HLA-DPB1, HLA-DRA	683	55	16792	7.59920138426727	9.440964406914887E-7	1.0489964852311573E-7	5.628369104115905E-7
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	22	2.7989821882951653	6.558369616966942E-10	CDC6, CDK1, IQGAP3, PKMYT1, MCM2, MCM10, MCM4, CDC25A, MCM5, CDT1, MCM6, CCNE2, TYMS, CDC45, MCM7, DHFR, POLE2, CDKN2C, RRM2, CAMK2D, CDCA5, ORC1	683	102	16792	5.302787586484081	1.982593105909203E-6	1.9825948749385702E-7	1.1819525025380528E-6
